Date,Depth,Density
2019-08-01,0.0,143.333
2019-08-02,0.0,139.58424
2019-08-03,0.0,143.09354
2019-08-04,0.0,145.96544
2019-08-05,0.0,143.64403
2019-08-06,0.0,144.97366
2019-08-07,0.0,175.08684
2019-08-08,0.0,139.13562
2019-08-09,0.0,224.69669
2019-08-10,0.0,149.81725
2019-08-11,0.0,140.78221
2019-08-12,0.0,272.66492
2019-08-13,0.0,303.02338
2019-08-14,0.0,144.75896
2019-08-15,0.0,136.03355
2019-08-16,0.0,291.16653
2019-08-17,0.0,147.64142
2019-08-18,0.0,147.74323
2019-08-19,0.0,142.4527
2019-08-20,0.0,140.10786
2019-08-21,0.0,290.65546
2019-08-22,0.0,140.79013
2019-08-23,0.0,113.81678
2019-08-24,0.0,264.22595
2019-08-25,0.0,194.35158
2019-08-26,0.0,108.9349
2019-08-27,0.0,202.66003
2019-08-28,0.0,131.55782
2019-08-29,0.0,172.11195
2019-08-30,0.0,163.94061
2019-08-31,0.0,121.71295
2019-09-01,0.087752625,125.87683
2019-09-02,0.073977254,172.70139
2019-09-03,0.074725136,183.74791
2019-09-04,0.077472374,227.75287
2019-09-05,0.08872501,273.12384
2019-09-06,0.10556706,251.02075
2019-09-07,0.10786693,250.23827
2019-09-08,0.12199356,240.88727
2019-09-09,0.117191896,274.62772
2019-09-10,0.11175185,294.90894
2019-09-11,0.11330416,301.50012
2019-09-12,0.11511494,300.45493
2019-09-13,0.12023828,294.10422
2019-09-14,0.12493322,287.77014
2019-09-15,0.12857889,283.33755
2019-09-16,0.13276188,278.40222
2019-09-17,0.12969325,288.64984
2019-09-18,0.14089075,287.91052
2019-09-19,0.13978492,292.53564
2019-09-20,0.14254613,291.53073
2019-09-21,0.14468844,290.78226
2019-09-22,0.15044223,284.7444
2019-09-23,0.15277569,283.00146
2019-09-24,0.15622717,280.40518
2019-09-25,0.16446061,274.75745
2019-09-26,0.16973576,274.11328
2019-09-27,0.15370941,305.62518
2019-09-28,0.15406407,307.34683
2019-09-29,0.1584498,302.0026
2019-09-30,0.15840435,303.4068
2019-10-01,0.15771939,305.34256
2019-10-02,0.15808232,305.6925
2019-10-03,0.15741965,307.91504
2019-10-04,0.15793306,309.09286
2019-10-05,0.16341564,301.51227
2019-10-06,0.16229525,303.89825
2019-10-07,0.15285559,322.0574
2019-10-08,0.15104088,335.22607
2019-10-09,0.1560008,326.82974
2019-10-10,0.15650825,326.58072
2019-10-11,0.15592605,328.28122
2019-10-12,0.15946983,323.49158
2019-10-13,0.1657401,314.1564
2019-10-14,0.16657032,314.569
2019-10-15,0.17111456,307.88397
2019-10-16,0.17430912,303.6671
2019-10-17,0.1762862,301.3207
2019-10-18,0.17813575,301.36282
2019-10-19,0.18567184,293.31192
2019-10-20,0.20059204,279.9734
2019-10-21,0.18122527,313.96103
2019-10-22,0.17096502,334.8824
2019-10-23,0.17007054,337.78168
2019-10-24,0.1737861,332.8808
2019-10-25,0.19413933,304.6971
2019-10-26,0.19988349,297.9534
2019-10-27,0.20014863,299.51044
2019-10-28,0.18990558,314.60507
2019-10-29,0.18881863,317.88474
2019-10-30,0.18992832,316.93494
2019-10-31,0.19082709,315.9818
2019-11-01,0.19207476,314.544
2019-11-02,0.19642887,309.0326
2019-11-03,0.19870697,307.28683
2019-11-04,0.19732319,313.49442
2019-11-05,0.19376835,320.13013
2019-11-06,0.19647372,317.502
2019-11-07,0.20859613,303.87415
2019-11-08,0.21249339,299.85803
2019-11-09,0.22159159,290.34082
2019-11-10,0.22510399,287.0486
2019-11-11,0.214205,305.72308
2019-11-12,0.20310038,322.75208
2019-11-13,0.2016689,325.81332
2019-11-14,0.20635556,320.6212
2019-11-15,0.206915,321.10187
2019-11-16,0.18418062,348.92825
2019-11-17,0.17913878,361.08365
2019-11-18,0.1884967,347.84015
